,,,,Bitrate Report,,,,,
,,,,,,,,Bitrate From: 128  To: 128,
,,ARTIST,,,,,,,
,,,,,,ALBUM,,,
,128 kbps,,,,,,,,
,,,Carlos Santana,,,Live At The Fillmore - CD 2/2,,,
,,,Derek Bailey and Henry Kaiser,,,Wireforks,,,
,,,Hail,,,Turn of the Screw,,,
,,,Harem,,,A Collection of the best of Harem,,,
,,,Haris Alexiou,,,12 Laika Tragoudia,,,
,,,Haris Alexiou,,,Alexiou No 2,,,
,,,Haris Alexiou,,,Ta Tragoudia Tis Gis Mou,,,
,,,Hasidic New Wave,,,From The Belly Of Abraham,,,
,,,Hedningarna,,,Tra,,,
,,,Hein Braat,,,"Gayatri Mantra, Maha Mrityunjaya Mantra",,,
,,,Santana,,,Live At The Fillmore 1968 - Disc One,,,
Bitrate: 128    Total: 11,,,,,,,,,
,17.02.10 18:03,,,,Page 1 of ,,1,,www.melloware.com
